year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes
2023,2023SOTSBook.pdf,,,"We will build a new world, and we will be courageous. We will do the hard things — the necessary things to lift up and support New Yorkers and clear a path for them to realize the New York Dream. That is my promise to the people of New York. Governor Kathy Hochul January 2023 FOREWORD",,,program/policy,yes,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,THE NEW YORK HOUSING COMPACT,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Set Goals for New Home Construction Across the State,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Facilitate Housing Approval When Localities Do Not Meet Goals,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Encourage New Housing Near Transit,Homes and Community Renewal,Department of Transportation; MTA,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Provide $250 Million to Support Planning and Infrastructure Needs,Homes and Community Renewal,,funding/tax/benefit,yes,$250 Million,executive_budget,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Establish Statewide Database to Promote Transparency,Homes and Community Renewal,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Remove Obstacles to Housing Approvals,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Give the City of New York the Flexibility to Increase Residential Capacity,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Create Greater Opportunities toConvert Office Spaces to Residential Housing,Homes and Community Renewal,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Authorize the City of New York to Legalize Basement Apartments,Homes and Community Renewal,,legislation/regulation,no,,legislation_required,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Offer Critical Incentives to Build and Rehabilitate Housing,Homes and Community Renewal,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Address Childhood Lead Poisoning in High-Risk Areas Outside of New York City,Homes and Community Renewal,New York City,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Support Homeowners in High-Need Communities of Color,Homes and Community Renewal,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Expand the Tenant Protection Unit,Homes and Community Renewal,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Reclaim Vacant and Abandoned Homes,Homes and Community Renewal,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Include Child Care in New Residential Construction,Homes and Community Renewal,OCFS,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Housing / homelessness,,Create a Housing Planning Office,Homes and Community Renewal,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,FOR MENTAL HEALTH,OMH,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,Expand Insurance Coverage for Mental Health Services,OMH,DFS,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,Expand Mental Health Services for School-Aged Children,OMH,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,"IncreaseOperationalCapacityforInpatient Psychiatric Treatment By 1,000 Beds",OMH,,other,yes,"1,000 Beds",mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,Improve Admissions and Discharge Planning and Establish Systemic Accountability,OMH,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.
2023,2023SOTSBook.pdf,Mental health,,Dramatically Expand Outpatient Services,OMH,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.
