year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes,commitment_id,lead_agency_standardized,supporting_agencies_standardized,item_type_clean,implementation_pathway_clean,binary_evaluable,binary_unit,overlap_theme,status_evidence_needed,source_quality,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis,commitment_text,source_page,source_page_end,text_capture_confidence
2023,2023SOTSBook.pdf,Housing / homelessness,,Set Goals for New Home Construction Across the State,HCR,MTA,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023001,HCR,MTA,other,mixed,no,,housing_supply,agency report or official implementation evidence,cleaned_toc_pass,new,,,,"The keystone of the New York Housing Compact will be targets for new home creation on a three-year cycle that will apply to all municipalities (villages, towns, and cities). The new home targets balance different levels of demand - both upstate and downstate - recognize the diversity in size and character of different

communities, and emphasize simplicity in applicability. They seek to make municipalities partners in either meeting or exceeding the targets for permitting new homes.

Municipalities in the region serviced by the Metropolitan Transportation Authority (MTA), including New York City, where the housing need is most acute, will have a three percent new homes target over three years. In municipalities located in upstate counties, the new homes target will be one percent over three years. Setting new home targets as percentages of existing housing stock has the effect of tailoring the targets to the existing size of each locality.

Many localities already build homes at the pace necessary to reach their new homes target or come close. Census data for the North Country region, for instance, showed that nearly half of its localities met a one percent target over the last three years. Looking forward, based on current census data, roughly 80 percent of all localities in the state need to permit approximately 50 new homes or fewer over the next three years to achieve their respective goals.

Some regions and localities, however, have historically fallen short of their targets. Over the last three years, the number of homes in the lower Hudson Valley grew by roughly 1. percent. New York City recorded close to two percent growth. In Long Island, the number of homes increased by just 0. percent, the lowest percentage of any region in the state.

Localities will have discretion on how to meet their new home targets. From repurposing underutilized office parks and strip malls to offering new incentives towards multifamily buildings, localities can choose how they tailor their strategies to build the homes we need. To encourage the inclusion of affordable housing as part of the new growth, affordable units will be assigned extra weight in calculating localities' progress toward their goals.

The design of new home targets, as well as the policies and actions described below that are an outgrowth of those targets, accounts for the possibility that some localities may not meet their targets simply because of a lack of local economic demand for new housing, rather than because of restrictive zoning or onerous approval processes. With this in mind, the resulting actions

triggered by a failure to meet a new homes target will have no practical effect in places where there is no demand to build housing, as described below.",33,36,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Facilitate Housing Approval When Localities Do Not Meet Goals,HCR,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023002,HCR,,other,mixed,no,,housing_supply,agency report or official implementation evidence,cleaned_toc_pass,new,,,,"New Fast Track Approval mechanisms will be available for mixed-income, multifamily projects only in localities that do not meet their targets (and that also fail to adopt certain targeted approaches with a proven record for facilitating housing growth). In these localities, for the subsequent three-year cycle, if a proposed housing project meets key criteria, including a minimum number of homes and a minimum affordability requirement, and also does not violate health and safety requirements, it must be approved even if existing zoning restrictions do not allow it. A new appeals process that will be available at the State administrative level and through the court system will be established to provide approvals where localities do not.

Localities may choose to take actions that substantially increase capacity for new housing and mixed-use developments, which will exempt them from the Fast

Track Approval mechanisms for the subsequent three- year cycle even if they do not meet the new homes target. In a locality where a lack of demand for new housing results in a failure to meet the new homes target, that same lack of demand will effectively preclude its use of Fast Track Approval.

This novel approach combines lessons learned from other states which have implemented similar programs, while providing flexibility to meet New York's unique needs. Massachusetts, Connecticut, California, Oregon, New Jersey, Washington, and other states are all equipped with state-level tools to promote development. None of these states have been successful

in attempts to drive housing growth solely by providing financial incentives to localities.",36,37,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Encourage New Housing Near Transit,HCR,MTA,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023003,HCR,MTA,other,mixed,no,,transit_oriented_housing,agency report or official implementation evidence,cleaned_toc_pass,continuation,2022136,Spur Transit-Oriented Development,theme=transit_oriented_housing; shared_terms=transit,"Over the past two decades, New York has made unprecedented investments in creating a world-class commuter rail infrastructure, totaling billions of dollars in Long Island and the Hudson Valley. Roughly 3. million New Yorkers live within a half mile of a subway or commuter rail station, but there remains significant

capacity to support many more residents to live near transit. Given the unrivaled opportunities these communities enjoy and the well-established climate benefits that derive from mixed-use, walkable developments near transit, under the Housing Compact neighborhoods within half a mile of all rail stations run by the MTA - both subway and commuter trains - will locally rezone to allow for certain levels of housing density.

Within three years, localities will rezone the areas immediately surrounding these transit stops for a minimum average density unless the existing density already meets that level. Mixed-use, walkable developments will be encouraged, and municipalities will have flexibility in how they distribute the density. Given the scale of this undertaking, municipalities will have the opportunity to obtain funding for planning assistance from the State.

New York State has invested billions in creating a world-class commuter rail infrastructure",37,39,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Provide $250 Million to Support Planning and Infrastructure Needs,HCR,MTA,funding/tax/benefit,yes,$250 Million,executive_budget,First-pass coding from 2023 SOTS table of contents.,2023004,HCR,MTA,funding/tax/benefit,executive_budget,no,,housing_planning_governance,"implementation metrics, agency reports, or budget plus rollout evidence",cleaned_toc_pass,new,,,,"To support local governments in achieving our housing goals, Governor Hochul will create a $250 million fund to aid critical infrastructure projects triggered by plans for increased housing, such as sewer and water infrastructure, structured parking facilities that allow existing lots to be repurposed, potential school infrastructure needs, and improvements to the public

realm to accommodate neighborhood growth and livability. The proposed fund would supplement existing sources of State infrastructure support for localities, including Water Infrastructure Improvement Act funding, Environmental Bond Act funding, the Clean Water State Revolving Fund, the Consolidated Local Street and Highway Improvement Program, and other programs.

An additional $20 million fund will be established to support local governments as they pursue rezoning, collect critical housing data, and engage in other important planning activities tied to achieving the new home targets.",39,40,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Establish Statewide Database to Promote Transparency,HCR,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023005,HCR,,program/governance,executive_action,yes,established,housing_planning_governance,"executive order, agency launch, or official announcement",cleaned_toc_pass,new,,,,"The State will create a New York-wide database of housing permit data, zoning maps, and zoning requirements for all our localities. This publicly available database will allow the State to better serve local communities on a wide range of issues. The information will be used to track localities' progress

towards their goals, and will be available as a valuable resource for all localities. The State will work with county or regional entities to provide support for localities collecting the initial data and setting up systems to submit the information on an ongoing basis.",40,41,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Remove Obstacles to Housing Approvals,HCR,MTA,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023006,HCR,MTA,other,mixed,no,,housing_supply,agency report or official implementation evidence,cleaned_toc_pass,new,,,,"In order to facilitate the swift implementation of rezoning actions and development of new homes, specific relief from environmental review will be included in the New Homes Targets and Transit Oriented Development (TOD) proposals. As a reflection of the clear environmental and community benefits associated with targeting smart growth around low- emissions transit systems and in existing communities, TOD and housing capacity rezonings will have an expedited environmental review process, as will projects built within these rezoned areas that meet the criteria set forth for such rezonings in the Housing Compact. The State will still exercise crucial safeguards that prevent environmental harm and ensure that public health remains our highest priority. Similarly, in localities that have not achieved their housing targets,

projects eligible for the Fast Track Approval process will have the option to undergo an environmental review process that still retains focus on health and safety concerns.",41,42,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Give the City of New York the Flexibility to Increase Residential Capacity,HCR,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023007,HCR,,program/policy,mixed,no,,housing_supply,"implementation metrics, agency reports, or budget plus rollout evidence",cleaned_toc_pass,new,,,,"For decades, the State has imposed a limitation on residential density in New York City. Governor Hochul will propose an amendment removing this antiquated limitation that restricts maximum density of residential floor area to 12.0, returning to the City of New York the ability to undertake local processes to allow for denser residential development where appropriate.",42,42,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Create Greater Opportunities to Convert Office Spaces to Residential Housing,HCR,,program/governance,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023008,HCR,,program/governance,executive_action,yes,created,office_conversion,"executive order, agency launch, or official announcement",cleaned_toc_pass,continuation,2022138,Ease Restrictions on Converting Hotels and Offices to Residential Uses,theme=office_conversion; shared_terms=residential,"New York State has always pursued bold creative strategies to reinvent itself in the face of challenges. With the rise of remote work at this key time in our housing crisis, it is incumbent upon us to do all we can

to tackle these dual needs to transform this moment into an opportunity. Governor Hochul will propose legislation to expand the universe of commercial buildings eligible for conversion to residential use and provide necessary regulatory relief for such conversions. This would make an estimated additional 120 million square feet newly eligible for conversion.",42,43,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Authorize the City of New York to Legalize Basement Apartments,HCR,,legislation/regulation,no,,legislation_required,First-pass coding from 2023 SOTS table of contents.,2023009,HCR,,legislation/regulation,legislation_required,yes,authorized,basement_apartments,"statute, enacted bill, or chapter law",cleaned_toc_pass,new,,,,"Following the devastation wrought by Hurricane Ida, it was clear to all that there was an urgent need to create a pathway to legalize basement dwellings currently barred by law, bringing these homes out of the shadows. Governor Hochul will propose providing the City of New York with the local authority to provide amnesty by local law for existing basement units that meet health and safety standards to be determined by the City. This change builds on the Fiscal Year 2023 $85 million capital program in the Governor's housing plan to assist with these conversions in New York State.",43,43,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Offer Critical Incentives to Build and Rehabilitate Housing,HCR,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023010,HCR,,program/policy,mixed,no,,housing_supply,agency report or official implementation evidence,cleaned_toc_pass,new,,,,"Tax incentive programs, when well designed, can play a critical role in promoting the development of new housing, particularly below-market housing that would not otherwise be economically feasible.

To support the development of mixed-income housing outside of New York City, Governor Hochul will direct Homes and Community Renewal (HCR) to make $5 million in State Low Income Housing Tax Credits (SLIHC) available to mixed-income projects. Such a tax credit can equip communities around the state with a new tool to encourage affordability.

Governor Hochul will also propose a new property tax exemption in New York City to incentivize the inclusion of affordable housing in commercial buildings that are converted to residential use.

To support homeowners who build out Accessory Dwelling Units (ADUs), Governor Hochul will propose to expand an existing property tax exemption that localities can opt into to explicitly cover these units, increasing the size of the exemption to better support

the creation of ADUs and extending the time frame to incentivize their development.

Governor Hochul will also propose a new property tax exemption that localities can opt into to encourage mixed income housing development near train stations.

While new construction is critical, preserving existing affordable housing is also a vital tool, particularly in New York City. Governor Hochul will propose an updated tax exemption to support property owners who need support for undertaking major capital repairs.

Governor Hochul will make the necessary changes to ensure that localities where new housing developments utilize Payment in Lieu of Taxes (PILOT) agreements are not penalized in tax cap calculations. The status quo accounting methodology can discourage the use of PILOT agreements by putting more downward pressure on a locality's overall tax levy.

Finally, Governor Hochul will work with the Legislature to fashion and enact a replacement for the 421a property tax exemption program that expired last year. A well-structured incentive is necessary to stimulate the

production of new rental housing in New York City sufficient to meet the overall goals of this plan.",44,46,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Address Childhood Lead Poisoning in High-Risk Areas Outside of New York City,DOH,,other,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023011,DOH,,other,mixed,no,,lead_remediation_housing,agency report or official implementation evidence,cleaned_toc_pass,new,,,,"Each year, nearly 7,000 children in New York are diagnosed with dangerously elevated blood lead levels. Exposure to lead causes pernicious health effects that can continue through adulthood. The burden of lead exposure exacts an economic as well as a personal toll. In Buffalo alone, the approximately 450 children tragically diagnosed with lead exposure in 2019 are expected to face a lifetime economic burden of $94 million in lost wages, higher health care costs, and social assistance spending. By some estimates, lead exposure results in as much as $3. billion in societal costs for New York each year.

To protect our children from the harms of lead exposure, Governor Hochul is proposing a program to drastically reduce the risk of lead exposure in rental properties. Under her direction, the State will apply an inspection requirement in the 24 highest risk zip codes

outside of New York City, which utilizes its own program for lead abatement. Rental units built before 1980 will be required to be assessed on a three-year cycle to try and identify any hazards that may pose an imminent risk to children. Homes that fail the inspections will be required to remediate the lead hazards in order to keep their certificate of occupancy. To help assist landlords, State funding will be provided to defray the costs of inspections as well as to support renovations when dangerous conditions are identified. Local governments can leverage further funding from federal programs to provide additional support to property owners. Similar program models have delivered sharp drops in lead exposure in communities like Rochester.

Taking a proactive, rigorous approach to rooting out lead will help put New York on a trajectory to finally eradicate lead exposure.",46,47,high
2023,2023SOTSBook.pdf,Housing / homelessness,,Support Homeowners in High-Need Communities of Color,HCR,,program/policy,no,,mixed,First-pass coding from 2023 SOTS table of contents.,2023012,HCR,,program/policy,mixed,no,,housing_general,"implementation metrics, agency reports, or budget plus rollout evidence",cleaned_toc_pass,continuation,2022128,"Create and Preserve 100,000 Low-Income Rental and Co-Operative Housing Units in Both Urban and Rural Communities",theme=housing_general; shared_terms=communities,"Governor Hochul is proposing to create a Homeowner Stabilization Fund, based on the work her administration has done in the city of Buffalo, to focus

on 10 key communities in the state with a high concentration of low-income homeowners of color who have an urgent need for home repairs. The program would provide $50 million for critical home repairs, reaching as many as 200 homes in each community. Local governments would work with local nonprofit organizations to provide the grants, with the overarching goal of stabilizing both homeowners and neighborhoods, increasing property values, and preserving equity and generational wealth-building.",47,48,high
