year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes,commitment_id,lead_agency_standardized,supporting_agencies_standardized,item_type_clean,implementation_pathway_clean,binary_evaluable,binary_unit,overlap_theme,status_evidence_needed,source_quality,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis,commitment_text,source_page,source_page_end,text_capture_confidence
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Launching 2-Care for New York City Families,,,other,yes,,mixed,First-pass coding from 2026 SOTS table of contents.,2026001,,,other,executive_action,yes,launched,disability_inclusion,"executive order, agency launch, or official announcement",first_pass_toc,new,,,,"New York City has already launched universal Pre-K and 3K, and Governor Hochul will partner with the city to launch an unprecedented initiative to offer entirely free child care for two-year-olds within New York City serving all children, including students with disabilities and English language learners. The Governor will offer state support to pilot and then scale 2-Care to reach all eligible children within four years of launch.

Initial pilots will focus on high-need areas selected by New York City and will be expected to reach approximately 2,000 children this fall, growing to over 30,000 children at full implementation. 2- Care promises to have a transformative impact on reducing family costs, expanding care options, and setting New York City's children on a trajectory towards a brighter future.",23,24,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Reaching Universal 3K Access within New York City,,,other,yes,,mixed,First-pass coding from 2026 SOTS table of contents.,2026002,,,other,mixed,no,,child_care_access,agency report or official implementation evidence,first_pass_toc,continuation,2025006,Expand Access to Vital Nutrition Programs for Mothers and Children,theme=child_care_access; shared_terms=access,"In addition to the launch of 2-Care in New York City, the Governor will partner with the city to strengthen the city's 3K program. 3K has been a lifeline to the families it has served, linking high- quality seats to families navigating the costs and scarcity of child care access in New York City; however, it has faced challenges in implementation, and faces pockets where supply outstrips demand. To achieve 3K's promise of offering universal access to neighborhood options for families and reducing costs for families across the city, Governor Hochul and the city will partner to strengthen the program to meet demand.",24,24,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Continuing to Expand the Child Care Assistance Program for Families Statewide,,,program/policy,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026003,,,program/policy,mixed,mixed,implemented,child_care_access,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,expansion,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child","Under Governor Hochul's leadership, New York has expanded access to and more than doubled the State's investment in the Child Care Assistance Program (CCAP), which provides subsidies to help low-income families across the state access child care. By dramatically increasing the State's funding for the program while expanding eligibility to more New York families, the program now supports 2. times more children-an additional 100,000-than when Governor Hochul took office; the number of children served has increased by almost 25% in the past year alone. Most of the families of the 170,000 children served by the program pay no more than $15 a week for child care.

This year, Governor Hochul will continue to grow the State's investment in the CCAP program, with a $1. billion increased investment, bringing the total available for subsidies to over $3 billion. This is 3. times more than the $832 million provided prior to the Governor taking office, and a nearly 40 percent increase from what was made available in the FY 2026 Enacted Budget. This will provide families and child care providers across the state additional support to serve more of New York's children.",24,24,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Piloting Innovative Community Care Models,,,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026004,,,other,mixed,no,,child_care_access,agency report or official implementation evidence,first_pass_toc,continuation,2025012,Create the New York Coalition for Child Care,theme=child_care_access; shared_terms=care,"In 2026, Governor Hochul will launch innovative new pilot projects for families and children in a limited number of counties around the state that are also eager to launch child care in more expansive ways in their communities. These counties will join a new New York State demonstration project, designed to support counties in working towards universal access across their community, regardless of income.

Programs will be a joint collaboration among participating counties, local child care coordinating entities, and New York State. Child care providers in chosen jurisdictions will be able to enter into contracts that draw down on state and local funding. This structure will facilitate providers to sustainably expand their capacity to reach more families, and counties to help ensure that care is meeting family needs. These pilots will offer opportunities to serve all families in selected counties without the administrative hurdle of means-testing.",25,25,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Helping Defray Child Care Costs by Overhauling the Child and Dependent Care Tax Credit,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2026 SOTS table of contents.,2026005,,,funding/tax/benefit,executive_budget,no,,child_care_access,"budget appropriation, program awards, or fiscal documents",first_pass_toc,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child","New York State's Child and Dependent Care Tax Credit helps put money back in families' pockets by reimbursing for the cost of child care. Last year alone, the credit provided roughly $100 million to families across the state, helping alleviate the enormous cost burden of child care.

With recent federal changes impacting the equivalent federal credit, Governor Hochul will seek legislation that will uncouple New York State's credit from the federal tax code so that it can be expanded and simplified. These changes will provide an additional average benefit of roughly $575 for roughly 230,000 tax filers. These changes will offer a lifeline to families across the state, helping further alleviate the crush of child care costs.",25,25,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Launching the Office of Child Care and Early Education to Drive Universal Child Care,,,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026006,,,other,executive_action,yes,launched,child_care_access,"executive order, agency launch, or official announcement",first_pass_toc,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child","As New York State continues to prioritize care and learning for our youngest New Yorkers,

Governor Hochul will launch a new Office of Child Care and Early Education that will be charged with driving the implementation of high-quality, universal child care in New York State. The Office will manage and support long-term planning with a focus on both access and quality, including implementation of universal Pre-K, continued investment in 3-K, launch of NYC 2-Care and other innovative care options, expansion and improvement of CCAP, and ongoing support for the workforce. The Office will ensure quality even as access grows, serving as a single, accountable body for the implementation of universal child care across the state level, and elevating the ongoing importance of this work.",25,26,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Supporting Our Farmers' Families and Children,,,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026007,,,other,mixed,no,,child_care_access,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,continuation,2025006,Expand Access to Vital Nutrition Programs for Mothers and Children,theme=child_care_access; shared_terms=children,"New York's farming community is dependent on the hardworking families who sustain our food system. To ensure these children have a safe, nurturing place to grow while their parents are in the fields, Governor Hochul will increase New York's commitment to the Agri-Business Child Development (ABCD) Centers, a network of 13 centers that provide 1,000 children with child care, nutritious meals, and a foundation for lifelong learning. Increasing these centers' capacity will also provide parents with essential resources like assistance lines and family support services.",26,26,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Making It Easier to Provide Child Care,,,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026008,,,other,mixed,no,,child_care_access,agency report or official implementation evidence,first_pass_toc,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child","Child care programs are regulated through multiple state and local agencies, leading to overlapping and potentially conflicting regulatory challenges. Collectively, these processes make it more difficult and expensive to open, run, and staff child care centers at a moment when the State needs to be working to increase supply. Governor Hochul will ensure state-level agencies do a full review of relevant regulations and policies to ensure the State reduces barriers that make it harder to provide child care while also ensuring rigorous safety standards and fiscal oversight, and will ask localities to do the same. The Governor will also provide guidance and support to localities interested in adapting their own regulations and policies to better accommodate and expand high-quality child care.",26,26,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Engaging with Employers as Partners,,,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026009,,,other,mixed,no,,child_care_access,agency report or official implementation evidence,first_pass_toc,new,,,,"Many of New York's employers are eager to address the child care needs of their employees, and are trying innovative approaches of their own-from subsidies to reduce the costs of care for their workforce, to on-site child care. In order to bring more employers to the table on child care, the State is also undertaking a thorough review of existing tax incentives for employers with the goal of helping them better serve the child care needs of their employees.",27,27,high
2026,2026StateoftheStateBook.pdf,Chapter 1: Making New York More Affordable 18,Chapter 1: Making New York More Affordable 18,Supporting the Workforce through Early Childhood Educator Preparation,CUNY,SUNY,other,no,,mixed,First-pass coding from 2026 SOTS table of contents.,2026010,CUNY,SUNY,other,mixed,no,,college_workforce_pathways,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,continuation,2025072,Fund Free Community College in High-Demand Occupations,theme=college_workforce_pathways; shared_terms=,"Governor Hochul's plan to strengthen New York's early childhood education workforce focuses on a multi-tiered effort to expand access to funding, credentials, and training pathways. The proposals include expanding the Masters in Education Teacher Incentive Scholarship, increasing the number of teachers benefiting, and making the program work for early childhood educators. In addition, to open more low-cost options for these educators, New York will seek to classify early childhood education as an in-demand occupation for purposes of program eligibility for new federal Workforce Pell grants when available, and expand part-time Tuition Assistance Program (TAP) aid for students in approved non-degree teaching and child care programs.

In addition to expanding access to different aid streams, Governor Hochul will direct SUNY and CUNY to embed the Child Development Associate credential, where applicable, within credit- bearing early childhood programs. She will also charge them with establishing a unified system for recognizing prior learning and experience among the early childhood workforce, many of whom have been doing this work without recognition for decades. Finally, SUNY and CUNY will be directed to develop microcredentials in inclusive education and multilingual literacy to better prepare the workforce for a broader set of learners.",27,27,high
