commitment_id,proposal_title,overlap_theme,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis
2026001,Launching 2-Care for New York City Families,disability_inclusion,new,,,
2026002,Reaching Universal 3K Access within New York City,child_care_access,continuation,2025006,Expand Access to Vital Nutrition Programs for Mothers and Children,theme=child_care_access; shared_terms=access
2026003,Continuing to Expand the Child Care Assistance Program for Families Statewide,child_care_access,expansion,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child"
2026004,Piloting Innovative Community Care Models,child_care_access,continuation,2025012,Create the New York Coalition for Child Care,theme=child_care_access; shared_terms=care
2026005,Helping Defray Child Care Costs by Overhauling the Child and Dependent Care Tax Credit,child_care_access,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child"
2026006,Launching the Office of Child Care and Early Education to Drive Universal Child Care,child_care_access,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child"
2026007,Supporting Our Farmers' Families and Children,child_care_access,continuation,2025006,Expand Access to Vital Nutrition Programs for Mothers and Children,theme=child_care_access; shared_terms=children
2026008,Making It Easier to Provide Child Care,child_care_access,continuation,2025012,Create the New York Coalition for Child Care,"theme=child_care_access; shared_terms=care, child"
2026009,Engaging with Employers as Partners,child_care_access,new,,,
2026010,Supporting the Workforce through Early Childhood Educator Preparation,college_workforce_pathways,continuation,2025017,Build a Statewide Data System to Improve Education and Workforce Outcomes,theme=college_workforce_pathways; shared_terms=workforce
2026011,Boosting Awareness of the Child Tax Credit (CTC),labor_affordability_general,continuation,2025002,Vastly Expand New York's Child Tax Credit,"theme=labor_affordability_general; shared_terms=child, credit, tax"
2026012,Lowering Rates by Cracking Down on Fraud,state_police_capacity,new,,,
2026013,Strengthening Insurer Anti-Fraud Programs,labor_affordability_general,new,,,
2026014,Limiting Damages for Individuals Engaging in Unlawful Behavior at the Time of an Accident,labor_affordability_general,new,,,
2026015,Limiting Damages for Individuals Who Are “Mostly” at Fault in Causing an Accident,labor_affordability_general,new,,,
2026016,Tightening the Serious Injury Threshold,labor_affordability_general,new,,,
2026017,"Ensuring Consumers, Not Insurance Companies, Benefit from Savings",labor_affordability_general,new,,,
2026018,Increasing Transparency for Policyholders in the Auto Insurance Market,labor_affordability_general,new,,,
2026019,Improving Incentives to Drive Safely,labor_affordability_general,new,,,
2026020,Tracking Home Insurer Profitability,labor_affordability_general,new,,,
2026021,Increasing Property Insurance Transparency,labor_affordability_general,new,,,
2026022,Expanding Automatic Discounts for Homeowners,labor_affordability_general,new,,,
2026023,Expanding Automatic Discounts for Commercial Multifamily Properties,labor_affordability_general,new,,,
2026024,Increasing Transparency for Policyholders in the Home Insurance Market,labor_affordability_general,new,,,
2026025,Convening Stakeholders to Bring Down Home and Property Insurance Costs,labor_affordability_general,new,,,
2026026,Enhancing Penalties to Protect Rent-Regulated Tenants from Pervasive Harassment,tenant_protection,continuation,2025118,Extend Security Deposit Protections to Rent-Regulated Tenants,"theme=tenant_protection; shared_terms=regulated, rent, tenants"
2026027,Reforming J-51 to Preserve More Rent-Regulated Housing,tenant_protection,continuation,2025118,Extend Security Deposit Protections to Rent-Regulated Tenants,"theme=tenant_protection; shared_terms=regulated, rent"
2026028,Expanding a Critical Rent Freeze Program for Seniors and People with Disabilities,disability_inclusion,new,,,
2026029,Improving Fairness for Ratepayers Through Affordable Utilities Omnibus Legislation,building_decarbonization,new,,,
2026030,Revitalizing EmPower+ to Upgrade Homes,building_decarbonization,new,,,
2026031,Excelsior Power: Cheaper Utility Bills for a More Flexible and Affordable Grid,building_decarbonization,new,,,
2026032,Increasing Uptake of Energy Assistance Programs,building_decarbonization,new,,,
2026033,Requiring Data Centers to Pay Their Fair Share and Streamlining Interconnections for Job-Creating Businesses,building_decarbonization,new,,,
2026034,Protecting Tenants from Unfair Utility Shutoffs,building_decarbonization,new,,,
2026035,Mitigating Energy Cost Burden,building_decarbonization,new,,,
2026036,Modernizing Utility Regulation to Protect Consumers,building_decarbonization,new,,,
2026037,Helping Put Food on the Table,labor_affordability_general,new,,,
2026038,Investing in Food Banks and Pantries,food_access_agriculture,continuation,2025065,Enhance Local Food Supply Chains,theme=food_access_agriculture; shared_terms=food
2026039,Investing in New York PLATES,food_access_agriculture,new,,,
2026040,Slashing Food Benefits Theft with Modern EBT Cards,food_access_agriculture,continuation,2025065,Enhance Local Food Supply Chains,theme=food_access_agriculture; shared_terms=food
2026041,Promoting SNAP to Students and Families,public_education_funding,new,,,
2026042,Expanding Free Summer Meal Sites,food_access_agriculture,new,,,
2026043,Supporting Rural Summer Meals,food_access_agriculture,continuation,2025064,Supporting Agriculture,theme=food_access_agriculture; shared_terms=supporting
2026044,Promoting Summer EBT Across Agencies,digital_government,new,,,
2026045,Stopping Illegal Homegrown Guns,public_safety_general,new,,,
2026046,Cracking Down on 3D-Printed Firearms,gun_violence,new,,,
2026047,Taking Aim at DIY Machine Guns,public_safety_general,new,,,
2026048,Protecting Our Neighbors' Rights,public_safety_general,new,,,
2026049,Establishing a Right to Sue Federal Officers for Constitutional Violations,equity_general,new,,,
2026050,Protecting New Yorkers in Sensitive Locations,child_care_access,new,,,
2026051,Protecting Safe Access to Worship and Healthcare,equity_general,continuation,2025133,Require Access to Trained Forensic Medical Examiners at All Hospitals,theme=equity_general; shared_terms=access
2026052,Safeguarding Our Roads,public_safety_general,new,,,
2026053,Launching the Next Phase of the Autonomous Vehicle Pilot Program,state_police_capacity,new,,,
2026054,Stopping New York City's Super Speeders through Intelligent Speed Assistance,street_safety,continuation,2025051,Allow New York City to Lower Speed Limits in Bike Lanes,"theme=street_safety; shared_terms=city, speed"
2026055,Ensuring Safety First in Work Zones,street_safety,continuation,2025049,Improve Safety at New York City's Elementary School Intersections,theme=street_safety; shared_terms=safety
2026056,Strengthening Motorcycle Licensing Standards for New and Inexperienced Riders,street_safety,new,,,
2026057,Prioritizing Safety on the Subway,mta_service_and_finance,continuation,2025122,Enhance Subway Safety with Expanded Security and Outreach Measures,"theme=mta_service_and_finance; shared_terms=safety, subway"
2026058,Sustaining Record Lows in Subway Crime by Putting Police on Platforms,mta_service_and_finance,continuation,2025121,Advance Second Avenue Subway and Other Major Transit Improvements,theme=mta_service_and_finance; shared_terms=subway
2026059,Expanding SCOUT Teams in the Subway System,mental_health_supportive_housing,continuation,2025143,Expand Intensive and Sustained Engagement Teams,theme=mental_health_supportive_housing; shared_terms=teams
2026060,Protecting Riders with Platform Edge Barriers,mta_service_and_finance,new,,,
2026061,Combating Crime and Ensuring Justice,public_safety_general,continuation,2025038,Ensure Child Victims of Crime Are Maximally Supported,theme=public_safety_general; shared_terms=crime
2026062,Expanding Crime Analysis Centers Statewide,public_safety_general,continuation,2025038,Ensure Child Victims of Crime Are Maximally Supported,theme=public_safety_general; shared_terms=crime
2026063,Solving Crimes by Investing in Crime Labs,public_safety_general,continuation,2025038,Ensure Child Victims of Crime Are Maximally Supported,theme=public_safety_general; shared_terms=crime
2026064,Improving Police Training Academies,public_safety_general,new,,,
2026065,Supporting State Police after Critical Incidents,state_police_capacity,new,,,
2026066,Extending Orders of Protection,public_safety_general,new,,,
2026067,Supporting At-Risk and Survivor-Led Victim Assistance Programs,equity_general,continuation,2025134,Increase Funding for Rape Crisis Programs,theme=equity_general; shared_terms=programs
2026068,Streamlining and Promoting Access to Victim Compensation,public_safety_general,continuation,2025037,Expand Victim Support Services to Protect Vulnerable Populations,theme=public_safety_general; shared_terms=victim
2026069,Reforming Sexual Offense Evidence Collection Kit Procedures,equity_general,new,,,
2026070,Streamlining Justice by Reducing Costs and Delays in Grand Jury Proceedings,state_police_capacity,new,,,
2026071,Improving Emergency and Disaster Response,public_safety_general,new,,,
2026072,Enhancing Readiness for Mass Violence Events,public_safety_general,new,,,
2026073,Strengthening Statewide Urban Search and Rescue Capacity,cyber_emergency_response,continuation,2025097,Bolster the Security of Networks Statewide,theme=cyber_emergency_response; shared_terms=statewide
2026074,Partnering with Canada to Strengthen Disaster Response,cyber_emergency_response,new,,,
2026075,Developing a Comprehensive Plan for Drones,state_police_capacity,new,,,
2026076,Supporting First Responders' Behavioral Health Needs,college_workforce_pathways,continuation,2025040,Launch First Responder Counseling Scholarship Program,theme=college_workforce_pathways; shared_terms=first
2026077,Investing an Additional $250 Million to Accelerate Affordable Housing,mental_health_supportive_housing,expansion,2025117,Increase Funding for Supportive Housing,theme=mental_health_supportive_housing; shared_terms=housing
2026078,Embracing Innovative Approaches to Build Homes More Quickly and at Lower Costs,aging_long_term_care,new,,,
2026079,Expanding the Number of Land Banks Permitted,housing_supply,continuation,2025111,Unlock Historic Tax Credits by Decoupling and Expanding Eligibility,theme=housing_supply; shared_terms=expanding
2026080,Creating the Manufactured Homes Park Improvement Revolving Loan Fund,housing_supply,continuation,2025109,Launch New York State's First Mixed-Income Revolving Loan Fund,"theme=housing_supply; shared_terms=fund, loan, revolving"
2026081,Delivering Clean and Safe Water,aging_long_term_care,new,,,
2026082,Tapping Into Growth: Expanding Water Resources to Unlock New Housing Development,housing_supply,continuation,2025111,Unlock Historic Tax Credits by Decoupling and Expanding Eligibility,"theme=housing_supply; shared_terms=expanding, unlock"
2026083,Addressing Contamination from Landfills to Protect Water Quality,recycling_waste,new,,,
2026084,Getting the Lead Out,climate_general,new,,,
2026085,Upgrading Our Parks,climate_general,continuation,2025023,Invest in New York State's Recreation Infrastructure,theme=climate_general; shared_terms=
2026086,Investing in Rochester's First State Park: High Falls State Park,climate_general,new,,,
2026087,Restoring Riverbank's Role as a Community Hub for Harlem and Beyond,aging_long_term_care,new,,,
2026088,Exploring the Niagara Gorge,climate_general,new,,,
2026089,Strengthening Our Communities,transportation_general,continuation,2025125,Reconnect Communities in Albany and the Bronx,theme=transportation_general; shared_terms=communities
2026090,Launching NY Kicks: A World Cup Legacy Investment Fund,climate_general,new,,,
2026091,Building Community Centers to Foster Connections and Well-Being,climate_general,new,,,
2026092,Preserving Performing Art Spaces,transportation_general,new,,,
2026093,Improving Infrastructure at County Fairs,transportation_general,new,,,
2026094,Improving Commutes and Travel,transportation_general,new,,,
2026095,Reimagining Jamaica Station for the Millions of Commuters Who Depend on It,digital_government,new,,,
2026096,Advancing the Second Avenue Subway Crosstown Expansion Project to Improve Commutes,mta_service_and_finance,follow_on,2025121,Advance Second Avenue Subway and Other Major Transit Improvements,"theme=mta_service_and_finance; shared_terms=avenue, second, subway"
2026097,Launching the Let Them Build Agenda,housing_supply,new,,,
2026098,Helping Our Communities Build Housing We Need,public_safety_general,continuation,2025036,Support Safe and Vibrant Communities,theme=public_safety_general; shared_terms=communities
2026099,Accelerating Critical Infrastructure Projects,water_quality,new,,,
2026100,Delivering Faster Decisions for Local Communities through Clear Timelines and Accountability,government_operations_general,new,,,
2026101,Streamlining Environmental Impact Statements to Cut Down Review Timelines,government_operations_general,new,,,
2026102,Modernizing Permitting Processes to Save Time and Money for Localities,government_operations_general,new,,,
2026103,Expediting Major State Infrastructure Projects,government_operations_general,continuation,2025098,Safeguard New York's Water Infrastructure,theme=government_operations_general; shared_terms=infrastructure
2026104,Supporting Local Communities Through a Permitting Academy,government_operations_general,new,,,
2026105,Driving Economic Growth by Activating Underutilized Sites in the North Country,housing_supply,new,,,
2026106,Making Government Work Better,government_operations_general,continuation,2025096,Require Cybersecurity Awareness Training for Government Employees,theme=government_operations_general; shared_terms=government
2026107,Making Every New Yorker Count,medicaid_coverage,new,,,
2026108,Tackling Outdated and Burdensome Regulations that Stand in the Way of Delivering,government_operations_general,new,,,
2026109,Streamlining Public Procurement,government_operations_general,continuation,2025099,Expand and Extend Public Broadband and Cell Service,theme=government_operations_general; shared_terms=public
2026110,Delivering More with Smart Technology,digital_government,new,,,
2026111,"Creating a New Office of Digital Innovation, Governance, Integrity, and Trust (DIGIT)",digital_government,new,,,
2026112,Protecting Our Private Data,digital_government,new,,,
2026113,Requiring Labeling for AI-Generated Content,digital_government,new,,,
2026114,Protecting Elections from Misleading or Deceptive AI Content,digital_government,new,,,
2026115,Prohibiting Misleading “Discounts” in Online Sales,labor_affordability_general,new,,,
2026116,Ending Taxes on Tips,labor_affordability_general,new,,,
2026117,Fighting Workers' Compensation Fraud,labor_affordability_general,new,,,
2026118,Combating Wage Theft,labor_affordability_general,continuation,2025079,Expand Enforcement Power Following an Unpaid Wage Theft Judgment,"theme=labor_affordability_general; shared_terms=theft, wage"
2026119,Improving Disclosures for Student Loan Refinancing,labor_affordability_general,new,,,
2026120,Setting Cosigner Standards for Student Loans,labor_affordability_general,new,,,
2026121,Enhancing Illegal Vape Enforcement,government_general,new,,,
2026122,Promoting Tech and Biotech,economic_development_general,continuation,2025052,Driving Economic Development,theme=economic_development_general; shared_terms=
2026123,Making New York State “Chips Country” via a Downstate Semiconductor Chip Design Center,semiconductor_economic_development,continuation,2025056,Double Down on Shovel-Ready Sites for Modern Manufacturing,theme=semiconductor_economic_development; shared_terms=
2026124,Building Our Quantum Edge through Quantum Technology Commercialization Hubs,college_workforce_pathways,continuation,2025021,Invest in Cutting-Edge Research by Funding a New York State Innovation Fund,theme=college_workforce_pathways; shared_terms=edge
2026125,Launching Empire AI Beta and Creating the First Independent AI Research Center at SUNY Binghamton,college_workforce_pathways,continuation,2025057,Lead on Innovation Through Empire AI,theme=college_workforce_pathways; shared_terms=empire
2026126,Bolstering Biotechnology Statewide,technology_innovation_economic_development,continuation,2025058,Turbocharge Hiring by Startups,theme=technology_innovation_economic_development; shared_terms=
