year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Make a $10 Billion Investment in Healthcare and Support Wages for Workers,DOH,,funding/tax/benefit,yes,$10 Billion,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Increase the Training Capacity of Medical Institutions,DOH,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Attract Students into Healthcare by Relieving Their Financial Burdens,DOH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Award Prior Learning Credit across SUNY and CUNY,DOH,SUNY; CUNY,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Recruit Medical Professionals to Work in Underserved Areas,DOH,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Connect Immigrant New Yorkers to Direct Support Professions,DOH,ONA,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Allow Doctors and Nurses to Easily Relocate to and Practice in New York,DOH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Expand Workforce Development Partnerships to Build a Human Services Talent Pipeline,DOH,,capital/infrastructure,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Grow the Home and Community-Based Health Care Workforce Through Benefits and Skills Development,DOH,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Support More Career Flexibility for Direct Care Workers,DOH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Improve Training and Coordination Between EMS Professionals Statewide,DOH,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Reform Rules Limiting What Services Health Workers Can Provide,DOH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Create an Office of Healthcare Workforce Innovation,DOH,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Require Private Insurers to Reimburse Appropriate Telehealth Services at the Same Levels as Traditional Services,DOH,DFS,legislation/regulation,no,,legislation_required,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Create Powerful Patient and Provider Information Tools,DOH,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Create a Center for Medicaid Innovation to Lower Costs and Improve Care,DOH,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Make Healthcare More Affordable to More New Yorkers,DOH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Improve Access to Child Health Plus Insurance and to Mental and Behavioral Health Services for Children in Low-Income Households,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Ensure Vulnerable Seniors and Individuals with Disabilities Maintain Health Coverage as They Age or Become Disabled,DOH,NYS Office for the Aging,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Expand Medicaid Coverage for Postpartum Care,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Improve and Expand Access to Prenatal and Postnatal Care,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Expand Access to Midwifery Services Through Increased Reimbursement Rates,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Establish a State Master Plan for Aging,DOH,NYS Office for the Aging,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Promote Alternatives to Institutional Settings for Seniors,DOH,NYS Office for the Aging,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Improve the Quality of Care in Nursing Homes,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Invest in Innovative Nursing Home Models,DOH,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Combat Social Isolation and Abuse of Older Residents,DOH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Strengthen the Long-Term Care Ombudsman Program,DOH,NYS Office for the Aging,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Fight the Opioid Epidemic in New York State Using a Public Health Approach,OASAS,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Expand Mobile Treatment Services for Opioid Addiction,OASAS,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Provide Individuals with Supportive Recovery Housing,OASAS,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and","Enhance Suicide Prevention in Schools, Homes, and Communities",OMH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Integrate Mental Health Services into Pediatric Primary Care,OMH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Create the New York State Gender-Based Violence Training Institute,OMH,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Triple Resources for State Police’s Crime Gun-Tracing Efforts,New York State Police,Local law enforcement,other,yes,Triple,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,"Form a Gun Tracing Consortium with Local Law Enforcement Agencies, and Neighboring States",New York State Police,Local law enforcement,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Expand the Level and Scope of the State’s Direct Support to Local Law Enforcement,New York State Police,Local law enforcement,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Double State Police Partnerships with Local Law Enforcement,New York State Police,Local law enforcement,other,yes,Double,mixed,First-pass coding from 2022 SOTS table of contents.
