year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes
2024,2024-SOTS-Book-Online.pdf,,,2024 State of the State FOREWORD...........................................................................................................................,,,other,yes,2024,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Improve Public Safety By Addressing Serious Mental Illness,OMH,,program/policy,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Open 200 New Psychiatric Inpatient Beds,OMH,,other,yes,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Establish a Law Enforcement and Mental Health Coordination Team,OMH,,program/governance,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Improve Mental Health Admission and Discharge Decisions by Hospitals,OMH,,program/policy,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Create New Mental Health Courts and Expand Existing Courts,OMH,,program/governance,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Fund Court-Based Mental Health Navigators,OMH,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Increase Transitional Housing for Individuals Referred Through Court System,HCR,DOT; MTA,program/policy,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Fund New Community-Based Mental Health Teams,OMH,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Provide More Intensive Supervision of Individuals on Parole,OMH,,other,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Fund Specialized Housing for People with Serious Mental Illness and Criminal History,HCR,OMH,funding/tax/benefit,no,,executive_budget,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Provide Crisis Intervention Team Training for Law Enforcement,OMH,,other,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Provide Critical Care to Young People,OMH,,other,no,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Establish a School-Based Mental Health Clinic in Any School That Wants One,OMH,SED,program/governance,yes,,mixed,First-pass coding from 2024 SOTS table of contents.
2024,2024-SOTS-Book-Online.pdf,Mental health,SECTION 1: TACKLING THE MENTAL HEALTH CRISIS,Expand Peer-to-Peer Support Programs,OMH,,program/policy,no,,mixed,First-pass coding from 2024 SOTS table of contents.
